model,nowcast_date,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time,id
"Reference: Fixed, Report: Fixed",2021-11-22,1.07,0,0,10,200,1,361.6,1
"Reference: Fixed, Report: Fixed",2021-11-23,1.07,0,0,8,200,1,128.4,2
"Reference: Fixed, Report: Day of week",2021-11-22,1.06,0,0,10,200,1,460,3
"Reference: Fixed, Report: Day of week",2021-11-23,1.17,0,0,10,200,1,466.8,4
"Reference: Age, Report: Day of week",2021-11-22,1.1,0,0,10,200,1,491.1,5
"Reference: Age, Report: Day of week",2021-11-23,1.26,0,0,10,200,1,389.4,6
"Reference: Age and week, Report: Day of week",2021-11-22,1.07,0,0,10,200,1,787.3,7
"Reference: Age and week, Report: Day of week",2021-11-23,1.16,0,0,10,200,1,669.6,8
"Reference: Age and week by age, Report: Day of week",2021-11-22,1.09,0,0,10,200,1,757.2,9
"Reference: Age and week by age, Report: Day of week",2021-11-23,1.1,35,0.175,10,165,0.825,625.6,10
"Independent by age, Reference: Week, Report: Day of week",2021-11-22,1.06,0,0,10,71,0.355,85.3,11
"Independent by age, Reference: Week, Report: Day of week",2021-11-22,1.06,1,0.005,8,199,0.995,35.2,12
"Independent by age, Reference: Week, Report: Day of week",2021-11-22,1.07,0,0,8,161,0.805,26.3,13
"Independent by age, Reference: Week, Report: Day of week",2021-11-22,1.07,0,0,9,93,0.465,47.2,14
"Independent by age, Reference: Week, Report: Day of week",2021-11-22,1.05,0,0,9,68,0.34,45.9,15
"Independent by age, Reference: Week, Report: Day of week",2021-11-22,1.13,0,0,10,7,0.035,64.9,16
"Independent by age, Reference: Week, Report: Day of week",2021-11-22,1.16,0,0,10,8,0.04,60.3,17
"Independent by age, Reference: Week, Report: Day of week",2021-11-23,1.05,0,0,10,146,0.73,97.7,18
"Independent by age, Reference: Week, Report: Day of week",2021-11-23,1.1,6,0.03,8,188,0.94,23.2,19
"Independent by age, Reference: Week, Report: Day of week",2021-11-23,1.05,0,0,8,3,0.015,19,20
"Independent by age, Reference: Week, Report: Day of week",2021-11-23,1.07,2,0.01,10,8,0.04,63.2,21
"Independent by age, Reference: Week, Report: Day of week",2021-11-23,1.07,0,0,9,197,0.985,54,22
"Independent by age, Reference: Week, Report: Day of week",2021-11-23,1.1,0,0,9,200,1,64.6,23
"Independent by age, Reference: Week, Report: Day of week",2021-11-23,1.1,0,0,10,78,0.39,88,24
"Independent by age, Reference: Week, Report: Day of week",2021-11-22,1.04,0,0,8,59,0.295,23.9,25
"Independent by age, Reference: Week, Report: Day of week",2021-11-22,1.1,0,0,9,2,0.01,28.4,26
"Independent by age, Reference: Week, Report: Day of week",2021-11-22,1.13,0,0,10,2,0.01,61.3,27
"Independent by age, Reference: Week, Report: Day of week",2021-11-22,1.07,0,0,9,173,0.865,56.5,28
"Independent by age, Reference: Week, Report: Day of week",2021-11-22,1.07,2,0.01,7,176,0.88,12.6,29
