model,nowcast_date,reference_date,group,age_group,location,confirm,holiday,mean,median,sd,mad,q2.5,q5,q20,q25,q50,q75,q80,q90,q95,q97.5,report_date
"Reference: Fixed, Report: Fixed",2021-11-04,2021-10-02,1,00+,DE,2494,FALSE,2507.7,2507,4.27084535660448,4.4478,2500,2501,2504,2505,2507,2510,2511,2513,2515,2517,2021-11-04
"Reference: Fixed, Report: Day of week",2021-11-04,2021-10-02,1,00+,DE,2494,FALSE,2498.909,2499,2.33161686788574,2.9652,2495,2496,2497,2497,2499,2500,2501,2502,2503,2504,2021-11-04
"Reference: Age, Report: Day of week",2021-11-04,2021-10-02,1,00+,DE,2494,FALSE,2499.087,2499,2.44364823744216,2.9652,2495,2495,2497,2497,2499,2501,2501,2502,2503,2504.025,2021-11-04
"Reference: Age and week, Report: Day of week",2021-11-04,2021-10-02,1,00+,DE,2494,FALSE,2499.0055,2499,2.40507004699769,2.9652,2495,2496,2497,2497,2499,2500,2501,2502,2503,2504,2021-11-04
"Reference: Age and week by age, Report: Day of week",2021-11-04,2021-10-02,1,00+,DE,2494,FALSE,2497.7425,2499,55.9314970292229,2.9652,2495,2495,2497,2497,2499,2500,2501,2502,2503,2504,2021-11-04
"Independent by age, Reference: Week, Report: Day of week",2021-11-04,2021-10-02,1,00+,DE,2494,FALSE,2499.348,2499,2.62780301284879,2.9652,2495,2496,2497,2497,2499,2501,2501,2503,2504,2505,2021-11-04
"Reference: Fixed, Report: Fixed",2021-11-04,2021-10-03,1,00+,DE,2495,FALSE,2511.748,2512,4.6341378504322,4.4478,2504,2504,2508,2508,2512,2515,2516,2518,2520,2522,2021-11-04
"Reference: Fixed, Report: Day of week",2021-11-04,2021-10-03,1,00+,DE,2495,FALSE,2501.5565,2501,2.66126829246174,2.9652,2497,2498,2499,2500,2501,2503,2504,2505,2506,2507,2021-11-04
"Reference: Age, Report: Day of week",2021-11-04,2021-10-03,1,00+,DE,2495,FALSE,2501.609,2501,2.79213484783673,2.9652,2497,2497,2499,2500,2501,2503,2504,2505,2507,2507.025,2021-11-04
"Reference: Age and week, Report: Day of week",2021-11-04,2021-10-03,1,00+,DE,2495,FALSE,2501.523,2501,2.77656724442817,2.9652,2497,2497,2499,2500,2501,2503,2504,2505,2506,2507,2021-11-04
"Reference: Age and week by age, Report: Day of week",2021-11-04,2021-10-03,1,00+,DE,2495,FALSE,2500.092,2501,55.9990400117816,2.9652,2497,2497,2499,2499,2501,2503,2504,2505,2506,2507,2021-11-04
"Independent by age, Reference: Week, Report: Day of week",2021-11-04,2021-10-03,1,00+,DE,2495,FALSE,2502.1095,2502,3.02011097232247,2.9652,2497,2498,2500,2500,2502,2504,2505,2506,2508,2509,2021-11-04
"Reference: Fixed, Report: Fixed",2021-11-04,2021-10-04,1,00+,DE,2490,FALSE,2508.7945,2509,4.87628535151653,4.4478,2500,2501,2505,2505,2509,2512,2513,2515,2517,2519,2021-11-04
"Reference: Fixed, Report: Day of week",2021-11-04,2021-10-04,1,00+,DE,2490,FALSE,2497.5805,2497,2.9135483747599,2.9652,2493,2493,2495,2495,2497,2499,2500,2501,2503,2504,2021-11-04
"Reference: Age, Report: Day of week",2021-11-04,2021-10-04,1,00+,DE,2490,FALSE,2497.6165,2497,3.02291196503871,2.9652,2492,2493,2495,2496,2497,2499,2500,2502,2503,2504,2021-11-04
"Reference: Age and week, Report: Day of week",2021-11-04,2021-10-04,1,00+,DE,2490,FALSE,2497.4625,2497,2.99049582555156,2.9652,2492,2493,2495,2495,2497,2499,2500,2501,2503,2504,2021-11-04
"Reference: Age and week by age, Report: Day of week",2021-11-04,2021-10-04,1,00+,DE,2490,FALSE,2495.8545,2497,55.9113617249211,2.9652,2492,2493,2495,2495,2497,2499,2500,2501,2502,2503,2021-11-04
"Independent by age, Reference: Week, Report: Day of week",2021-11-04,2021-10-04,1,00+,DE,2490,FALSE,2498.1795,2498,3.25554588963506,2.9652,2493,2493,2495,2496,2498,2500,2501,2503,2504,2505,2021-11-04
