age_group,model,interval_score,sharpness,underprediction,overprediction,coverage_deviation,bias,aem,scale
00+,"Reference: Fixed, Report: Fixed",76,24.8,45.3,5.94,-0.149,-0.247,127,natural
00+,"Reference: Fixed, Report: Day of week",70.1,15.1,41.5,13.5,-0.274,-0.172,117,natural
00+,"Reference: Age, Report: Day of week",72.7,16.1,47.8,8.67,-0.258,-0.328,125,natural
00+,"Reference: Age and week, Report: Day of week",73.9,16.4,47.7,9.56,-0.258,-0.318,126,natural
00+,"Reference: Age and week by age, Report: Day of week",92.2,18.6,66.3,7,-0.265,-0.499,152,natural
00+,"Independent by age, Reference: Week, Report: Day of week",60.6,18.7,28.3,13,-0.185,-0.218,110,natural
00+,"Independent by age, Reference: Week and day of week, Report: Day of week",46.7,17.9,20.4,7.93,-0.11,-0.231,85.5,natural
00-04,"Reference: Fixed, Report: Fixed",2.05,0.874,0.16,1,-0.0537,0.43,3.78,natural
00-04,"Reference: Fixed, Report: Day of week",2.51,0.859,0.102,1.54,-0.113,0.52,4.45,natural
00-04,"Reference: Age, Report: Day of week",2.23,0.838,0.18,1.2,-0.0611,0.41,4.06,natural
00-04,"Reference: Age and week, Report: Day of week",2.27,0.845,0.196,1.22,-0.062,0.409,4.12,natural
00-04,"Reference: Age and week by age, Report: Day of week",2.19,0.841,0.376,0.949,-0.0341,0.246,3.95,natural
00-04,"Independent by age, Reference: Week, Report: Day of week",1.66,0.717,0.664,0.246,0.0121,-0.131,3.11,natural
00-04,"Independent by age, Reference: Week and day of week, Report: Day of week",1.65,0.729,0.662,0.228,0.0146,-0.148,3.1,natural
05-14,"Reference: Fixed, Report: Fixed",2.26,0.986,0.31,0.956,-0.0423,0.236,4.16,natural
05-14,"Reference: Fixed, Report: Day of week",2.77,0.947,0.211,1.6,-0.0815,0.348,4.84,natural
05-14,"Reference: Age, Report: Day of week",2.5,0.924,0.277,1.28,-0.0484,0.244,4.42,natural
05-14,"Reference: Age and week, Report: Day of week",2.55,0.932,0.29,1.31,-0.0496,0.245,4.5,natural
05-14,"Reference: Age and week by age, Report: Day of week",2.51,0.941,0.511,1.03,-0.0451,0.106,4.47,natural
05-14,"Independent by age, Reference: Week, Report: Day of week",2.13,0.848,0.834,0.42,-0.033,-0.118,3.92,natural
05-14,"Independent by age, Reference: Week and day of week, Report: Day of week",2.14,0.856,0.9,0.358,-0.0297,-0.148,3.86,natural
15-34,"Reference: Fixed, Report: Fixed",7.95,3.31,2.51,2.08,-0.102,0.0674,14.1,natural
15-34,"Reference: Fixed, Report: Day of week",8.2,2.6,1.8,3.77,-0.162,0.174,14.3,natural
15-34,"Reference: Age, Report: Day of week",7.33,2.57,2.48,2.23,-0.102,-0.0127,13,natural
15-34,"Reference: Age and week, Report: Day of week",7.49,2.61,2.52,2.3,-0.108,-0.0115,13.3,natural
15-34,"Reference: Age and week by age, Report: Day of week",9.04,2.79,4.39,1.78,-0.135,-0.214,15.5,natural
15-34,"Independent by age, Reference: Week, Report: Day of week",6.81,2.79,2.51,1.41,-0.0545,-0.12,12.5,natural
