horizon,model,interval_score,sharpness,underprediction,overprediction,coverage_deviation,bias,aem,scale
-7,"Reference: Fixed, Report: Fixed",10.5,3.13,6.59,0.553,-0.0684,-0.116,19.4,natural
-7,"Reference: Fixed, Report: Day of week",13.2,2.15,9.88,1.02,-0.177,-0.0836,20.4,natural
-7,"Reference: Age, Report: Day of week",9.95,2.66,3.9,3.31,-0.141,0.155,17.3,natural
-7,"Reference: Age and week, Report: Day of week",10.2,2.69,3.71,3.69,-0.144,0.167,17.5,natural
-7,"Reference: Age and week by age, Report: Day of week",9,2.97,3.2,2.74,-0.0781,0.0989,15.6,natural
-7,"Independent by age, Reference: Week, Report: Day of week",8.13,2.8,3.46,1.77,-0.0334,-0.0703,14.3,natural
-7,"Independent by age, Reference: Week and day of week, Report: Day of week",8.06,2.75,3.57,1.63,-0.0213,-0.113,14.2,natural
-6,"Reference: Fixed, Report: Fixed",16.4,3.47,11.9,0.773,-0.141,-0.169,28.1,natural
-6,"Reference: Fixed, Report: Day of week",16.7,2.42,13.1,1.02,-0.209,-0.116,25.3,natural
-6,"Reference: Age, Report: Day of week",12.6,2.94,6.41,3.12,-0.181,0.0997,21.1,natural
-6,"Reference: Age and week, Report: Day of week",12.7,2.98,6.12,3.49,-0.185,0.104,21.4,natural
-6,"Reference: Age and week by age, Report: Day of week",12.2,3.4,6.11,2.51,-0.131,-0.0429,20.5,natural
-6,"Independent by age, Reference: Week, Report: Day of week",10.4,3.12,5.64,1.48,-0.0755,-0.148,18.1,natural
-6,"Independent by age, Reference: Week and day of week, Report: Day of week",9.88,3.13,5.35,1.26,-0.0513,-0.207,17.3,natural
-5,"Reference: Fixed, Report: Fixed",25,3.88,19.7,1.23,-0.215,-0.161,39.4,natural
-5,"Reference: Fixed, Report: Day of week",20.8,2.77,16.9,1.03,-0.238,-0.119,31.1,natural
-5,"Reference: Age, Report: Day of week",18,3.28,12.9,1.7,-0.194,-0.198,28.6,natural
-5,"Reference: Age and week, Report: Day of week",18.5,3.31,13.3,1.76,-0.198,-0.212,29.2,natural
-5,"Reference: Age and week by age, Report: Day of week",18.9,3.68,13.9,1.19,-0.186,-0.296,29.3,natural
-5,"Independent by age, Reference: Week, Report: Day of week",13.5,3.56,8.31,1.4,-0.108,-0.204,23.8,natural
-5,"Independent by age, Reference: Week and day of week, Report: Day of week",11.8,3.56,7.11,0.924,-0.0671,-0.243,20.8,natural
-4,"Reference: Fixed, Report: Fixed",31.1,4.53,24.6,1.75,-0.239,-0.15,48.1,natural
-4,"Reference: Fixed, Report: Day of week",23,3.24,18.4,1.14,-0.23,-0.112,34.8,natural
-4,"Reference: Age, Report: Day of week",24.3,3.89,19.5,0.7,-0.198,-0.223,37.8,natural
-4,"Reference: Age and week, Report: Day of week",25.3,3.88,20.4,0.695,-0.2,-0.24,38.7,natural
-4,"Reference: Age and week by age, Report: Day of week",28.2,3.94,23.6,0.395,-0.24,-0.416,42.6,natural
-4,"Independent by age, Reference: Week, Report: Day of week",14.8,4.18,9.06,1.26,-0.0996,-0.233,26.5,natural
-4,"Independent by age, Reference: Week and day of week, Report: Day of week",12.7,4.2,7.46,0.826,-0.0589,-0.256,22.8,natural
-3,"Reference: Fixed, Report: Fixed",33.2,5.62,25.1,2.15,-0.217,-0.131,52.2,natural
-3,"Reference: Fixed, Report: Day of week",23.4,3.97,17.5,1.68,-0.2,-0.0631,36.7,natural
-3,"Reference: Age, Report: Day of week",25.4,4.62,19.5,1.05,-0.19,-0.188,40.5,natural
-3,"Reference: Age and week, Report: Day of week",26,4.62,20,1.06,-0.186,-0.195,40.9,natural
-3,"Reference: Age and week by age, Report: Day of week",32.3,4.92,26.2,0.868,-0.258,-0.406,49.3,natural
-3,"Independent by age, Reference: Week, Report: Day of week",14.6,5.22,7.47,1.6,-0.0614,-0.202,26.4,natural
-3,"Independent by age, Reference: Week and day of week, Report: Day of week",13.4,5.23,6.68,1.21,-0.0337,-0.207,24,natural
-2,"Reference: Fixed, Report: Fixed",33.3,7.42,22.9,2.61,-0.164,-0.0489,53.2,natural
-2,"Reference: Fixed, Report: Day of week",23.9,5.1,15.7,2.81,-0.18,0.0262,38.5,natural
-2,"Reference: Age, Report: Day of week",27.5,5.68,19.4,2.15,-0.188,-0.103,44.6,natural
-2,"Reference: Age and week, Report: Day of week",27.3,5.74,19.1,2.18,-0.177,-0.1,43.9,natural
-2,"Reference: Age and week by age, Report: Day of week",35.8,6.43,27.6,1.31,-0.229,-0.364,57.7,natural
-2,"Independent by age, Reference: Week, Report: Day of week",16.3,6.95,6.55,2.49,-0.0271,-0.0624,29,natural
-2,"Independent by age, Reference: Week and day of week, Report: Day of week",14.9,6.77,5.91,1.98,-0.0207,-0.0728,26.4,natural
-1,"Reference: Fixed, Report: Fixed",27.6,10.7,13.9,2.5,-0.0777,0.00568,47.8,natural
-1,"Reference: Fixed, Report: Day of week",26.5,6.98,14.2,5.03,-0.171,0.106,45.6,natural
-1,"Reference: Age, Report: Day of week",31.5,7.37,19.3,4.47,-0.17,-0.0478,53.2,natural
-1,"Reference: Age and week, Report: Day of week",31.3,7.53,18.6,4.84,-0.158,-0.0351,52.2,natural
-1,"Reference: Age and week by age, Report: Day of week",38.5,8.91,26.5,2.56,-0.168,-0.222,63.6,natural
-1,"Independent by age, Reference: Week, Report: Day of week",22.3,9.8,6.32,5.95,-0.0327,0.0499,41.2,natural
-1,"Independent by age, Reference: Week and day of week, Report: Day of week",17.1,9.32,3.85,3.69,0.00979,0.00949,31.7,natural
0,"Reference: Fixed, Report: Fixed",24.9,17.7,5.41,1.2,0.0881,-0.0736,43.8,natural
0,"Reference: Fixed, Report: Day of week",36,11,17.8,6.52,-0.144,-0.0256,68.1,natural
0,"Reference: Age, Report: Day of week",42.5,11,24.1,6.8,-0.15,-0.147,75.6,natural
0,"Reference: Age and week, Report: Day of week",43.1,11.3,23.7,7.44,-0.156,-0.142,76.3,natural
0,"Reference: Age and week by age, Report: Day of week",56.5,13,35.5,7.17,-0.205,-0.231,95.7,natural
0,"Independent by age, Reference: Week, Report: Day of week",34.9,14.7,10.2,9.39,-0.0418,-0.0983,66.5,natural
0,"Independent by age, Reference: Week and day of week, Report: Day of week",23.5,13.9,5.69,3.43,0.0278,-0.121,43.8,natural
-7,"Reference: Fixed, Report: Fixed",0.0544,0.0197,0.0161,0.018,-0.0684,-0.116,0.106,log
-7,"Reference: Fixed, Report: Day of week",0.0652,0.0176,0.0212,0.026,-0.177,-0.0836,0.115,log
